MH[GeV],GammaH[GeV],GammaH_up[%],GammaH_do[%]
194.0,1.20E+00,+0.55,-0.55
195.0,1.24E+00,+0.55,-0.55
196.0,1.28E+00,+0.55,-0.55
198.0,1.35E+00,+0.55,-0.55
200.0,1.43E+00,+0.55,-0.55
202.0,1.51E+00,+0.54,-0.55
204.0,1.59E+00,+0.54,-0.55
206.0,1.68E+00,+0.54,-0.54
208.0,1.76E+00,+0.54,-0.54
210.0,1.85E+00,+0.54,-0.54
212.0,1.93E+00,+0.54,-0.54
214.0,2.02E+00,+0.54,-0.54
216.0,2.12E+00,+0.54,-0.54
218.0,2.21E+00,+0.54,-0.54
220.0,2.31E+00,+0.54,-0.54
222.0,2.40E+00,+0.54,-0.54
224.0,2.50E+00,+0.54,-0.54
226.0,2.61E+00,+0.54,-0.54
228.0,2.71E+00,+0.54,-0.54
230.0,2.82E+00,+0.54,-0.54
232.0,2.93E+00,+0.54,-0.54
234.0,3.04E+00,+0.54,-0.54
236.0,3.16E+00,+0.54,-0.54
238.0,3.27E+00,+0.54,-0.54
240.0,3.40E+00,+0.54,-0.54
242.0,3.52E+00,+0.54,-0.54
244.0,3.64E+00,+0.54,-0.54
246.0,3.77E+00,+0.54,-0.54
248.0,3.91E+00,+0.54,-0.54
250.0,4.04E+00,+0.54,-0.54
252.0,4.18E+00,+0.54,-0.54
254.0,4.32E+00,+0.54,-0.54
256.0,4.46E+00,+0.54,-0.54
258.0,4.61E+00,+0.54,-0.54
260.0,4.76E+00,+0.54,-0.54
262.0,4.91E+00,+0.54,-0.54
264.0,5.07E+00,+0.54,-0.54
266.0,5.23E+00,+0.54,-0.54
268.0,5.39E+00,+0.53,-0.54
270.0,5.55E+00,+0.53,-0.54
272.0,5.72E+00,+0.53,-0.53
274.0,5.89E+00,+0.53,-0.53
276.0,6.07E+00,+0.53,-0.53
278.0,6.25E+00,+0.53,-0.53
280.0,6.43E+00,+0.53,-0.53
282.0,6.61E+00,+0.53,-0.53
284.0,6.80E+00,+0.53,-0.53
286.0,6.99E+00,+0.53,-0.53
288.0,7.19E+00,+0.53,-0.53
290.0,7.39E+00,+0.53,-0.53
292.0,7.59E+00,+0.53,-0.53
294.0,7.79E+00,+0.52,-0.53
296.0,8.00E+00,+0.52,-0.53
298.0,8.22E+00,+0.52,-0.53
300.0,8.43E+00,+0.52,-0.52
305.0,8.99E+00,+0.52,-0.52
310.0,9.57E+00,+0.51,-0.52
315.0,1.02E+01,+0.51,-0.51
320.0,1.08E+01,+0.51,-0.52
325.0,1.14E+01,+0.52,-0.54
330.0,1.21E+01,+0.54,-0.57
335.0,1.28E+01,+0.58,-0.65
340.0,1.35E+01,+0.66,-0.73
345.0,1.42E+01,+1.99,-0.52
350.0,1.52E+01,+2.96,-1.97
360.0,1.76E+01,+3.10,-3.06
370.0,2.02E+01,+2.98,-3.04
380.0,2.31E+01,+2.80,-2.90
390.0,2.61E+01,+2.62,-2.73
400.0,2.92E+01,+2.45,-2.54
420.0,3.59E+01,+2.14,-2.22
440.0,4.30E+01,+1.88,-1.96
450.0,4.68E+01,+1.76,-1.85
460.0,5.08E+01,+1.68,-1.73
480.0,5.91E+01,+1.51,-1.56
500.0,6.80E+01,+1.96,-2.00
520.0,7.75E+01,+2.16,-2.19
540.0,8.77E+01,+2.41,-2.43
550.0,9.30E+01,+2.53,-2.55
560.0,9.86E+01,+2.65,-2.68
580.0,1.10E+02,+2.90,-2.93
600.0,1.23E+02,+3.18,-3.18
620.0,1.36E+02,+3.46,-3.48
640.0,1.50E+02,+3.78,-3.78
650.0,1.58E+02,+3.94,-3.94
660.0,1.65E+02,+4.11,-4.12
680.0,1.82E+02,+4.49,-4.49
700.0,1.99E+02,+4.88,-4.88
720.0,2.17E+02,+5.33,-5.32
740.0,2.37E+02,+5.80,-5.81
750.0,2.47E+02,+6.06,-6.07
760.0,2.58E+02,+6.33,-6.33
780.0,2.80E+02,+6.90,-6.90
800.0,3.04E+02,+7.53,-7.52
820.0,3.30E+02,+8.19,-8.20
840.0,3.57E+02,+8.93,-8.92
850.0,3.71E+02,+9.31,-9.30
860.0,3.86E+02,+9.71,-9.71
880.0,4.16E+02,+10.56,-10.55
900.0,4.49E+02,+11.47,-11.47
920.0,4.84E+02,+12.45,-12.45
940.0,5.21E+02,+13.50,-13.49
950.0,5.40E+02,+14.05,-14.05
960.0,5.60E+02,+14.62,-14.62
980.0,6.02E+02,+15.82,-15.82
1000.0,6.47E+02,+17.10,-17.09
