MS,MH3,Xbbgg+ggbb(fb),Xbbbb(fb),X_to_HY_from_bbgg(fb),X_to_HY_from_4b(fb),X_to_HY(fb),X_to_HYbb(fb),Y_to_bb,Y_to_tautau,Y_to_mumu,Y_to_cc,Y_to_ss,Y_to_tt,Y_to_gluglu,Y_to_gg,Y_to_Zg,Y_to_WW,Y_to_ZZ,Y_to_l+l-l+l-,Y_to_l+l-l+l-.1,Y_to_e+e-e+e-,Y_to_e+e-μ+μ-,Y_to_l+l-νlνl,Y_to_l+l-νlνl.1,Y_to_e+νee-νe,Y_to_e+νeμ-νμ,Y_to_l+l-qq(q=udcsb),Y_to_l+l-qq,Y_to_l+νlqq*,Y_to_νlνlqq,Y_to_qqqq,Y_to_ffff
110,1000,-1,0.338456,-1,0.3942062205,0.3942062205,0.2932894281,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,1100,-1,0.161926,-1,0.1885983303,0.1885983303,0.1403171577,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,1100,-1,1.87573,-1,2.18469885,2.18469885,1.625415945,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,1200,-1,0.0689511,-1,0.0803086739,0.0803086739,0.05974965338,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,1300,-1,0.597424,-1,0.6958312368,0.6958312368,0.5176984402,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,1400,-1,0.0120007,-1,0.01397744638,0.01397744638,0.0103992201,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,1400,-1,0.34961,-1,0.4071974991,0.4071974991,0.3029549393,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,1500,-1,0.0109522,-1,0.01275623824,0.01275623824,0.009490641248,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,1500,-1,0.201052,-1,0.2341691359,0.2341691359,0.1742218371,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,1600,-1,0.00853901,-1,0.009945549375,0.009945549375,0.007399488735,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,1600,-1,0.121019,-1,0.1409531597,0.1409531597,0.1048691508,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
